# Table1
specobjid dr8objid rastring decstring
323189382297184256 1237648702966268030 12:11:42.06 -01:05:32.5
323189932052998144 1237648702966268062 12:11:52.83 -01:13:10.3
323189657175091200 1237648702966333581 12:12:06.87 -01:04:21.7
323169041332070400 1237648702966464577 12:13:45.14 -01:14:18.3
323171790111139840 1237648702966530213 12:13:53.76 -01:13:53.1
323167941820442624 1237648702966530219 12:13:54.67 -01:05:04.6
323167392064628736 1237648702966530252 12:14:06.29 -01:09:50.4
323168491576256512 1237648702966530271 12:14:16.04 -01:08:09.2
323155847192537088 1237648702966661167 12:15:18.25 -01:06:35.5
323144577198352384 1237648702966661296 12:15:36.46 -01:10:26.3
